,full_text,lang,retweet_count,created_at,source,reply_screen_name,reply_followers_count,reply_friends_count,reply_statuses_count,reply_favourites_count,reply_created_at,reply_full_text,reply_retweet_count,reply_favorite_count
16,"Vystartujte po úspěchu hned teď. U konto si založíte snadno online a nyní k němu dostanete nejnovější běžecké boty Nike Air Zoom Tempo Next% v hodnotě více než 5 tisíc korun jako dárek. Stačí splnit jedinou podmínku - podívejte se, jakou: 

https://t.co/oomJIk74y6

#UniCredit4You https://t.co/Cj4S6xrZwv",cs,0,Mon Nov 23 14:04:41 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
17,RT @UniCredit_PR: #OneUniCredit is the Best Global Internal #Content Campaign of the year at the #GlobalContentAwards. Follow us at: https:…,en,7,Fri Nov 20 14:13:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
18,"Věříš v digitální budoucnost bankovnictví. Máš seniorní zkušenoti s mobilními aplikacemi a internetovým bankovnictvím? Pak hledáme právě tebe! Přidej se k nám do skvělého týmu.  
 
Pro více informací klikni zde: 
https://t.co/wQLdE4U8qq

#UniCredit4People https://t.co/VZdpkk4vw8",cs,0,Thu Nov 12 09:01:48 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
19,"RT @UniCredit_PR: #Team23: follow #live, starting from 10am CET, the #UniCredit conference call for the presentation of the 3Q20 and 9M20 G…",en,11,Thu Nov 05 09:29:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
20,RT @UniCredit_PR: #HeadsUp: tomorrow morning at 07.00 CET #UniCredit publishes its 3Q20 and 9M20 #Results presentation. Follow live audio w…,en,11,Wed Nov 04 16:42:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
21,"#UniCredit4Good: Podporili sme O.z. Malíček, ktoré vďaka grantu od UniCredit Foundation darovalo 12 profesionálnych odsávačiek mlieka do nemocníc po celom Slovensku. 

#BankingThatMatters #DoTheRightThing #Call4Europe https://t.co/MXtnpsMT39",und,0,Mon Oct 26 12:11:10 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
22,"Magazín https://t.co/ErTMspZ5Nu ocenil  #UniCredit titulem Best Social Impact Bank v Evropě v roce 2020. Porotu zaujalo naše pokračující úsilí o pozitivní sociální dopad i aktivity spojené s probíhající pandemií.

#UniCredit4People #BankingThatMatters #SocialImpactBanking #Awards https://t.co/Zcy7LWK5pU",cs,1,Thu Oct 22 07:00:09 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
23,#UniCredit4ESG: UniCredit signed with Mondi SCP EUR 70mio bilateral loan for co-financing of ECO plus project in Ružomberok. Project includes mainly investment into new paper machine producing Kraft Top White paper. https://t.co/iplebjOHFl,en,2,Thu Oct 08 10:53:49 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
24,"Sezení v autě možná dokáže sem tam ušetřit čas, ostatní způsoby dopravy ale dokáží zlepšit vaši kondičku, ušetřit peníze a ještě jsou šetrnější k přírodě. 

♻ Tady je pět tipů, jak se přepravovat ekologicky: 
https://t.co/FVksohp5Ew

#OneUniCredit @UniCredit_PR https://t.co/wYD7wS8O0P",cs,2,Fri Oct 02 07:26:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
25,"#UniCredit4You: Prichádzame s historicky najnižšou úrokovou sadzbou na hypotékach s trojročnou fixáciou. Chceme podporiť tých, ktorí riešia vlastné bývanie. Za akých podmienok získate jednu z najnižších sadzieb na trhu sa dozviete vo videu.

Zdroj: TV Markíza z 12. 9. 2020 https://t.co/EFC0typbtj",und,0,Mon Sep 21 07:29:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
26,"O. z. Na Trati pomáha autistickým deťom začleniť sa do života. Aj vďaka hlasom našich klientov a zamestnancov sa im podarilo získať v tohtoročnej kampani Splnené priania najväčší počet hlasov. Pozrite sa, čo sa organizácii podarilo pre deti zrealizovať vo videu:

#UniCredit4Good https://t.co/51IWyjQETM",und,0,Mon Sep 07 07:41:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
27,"""We admire the dedication and resilience of the medical personnel of Nemocnice České Budějovice. Our gift will hopefully allow them to use the best medical equipment and protective tools to save lives,"" says Marco Iannaccone, our General Manager. 

#UniCredit4Good @UniCredit_PR https://t.co/vUszG3AXPJ",en,0,Fri Sep 04 06:57:03 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
28,"Náš nový Smart Office neunikl pozornosti médií. A není divu - kombinování práce v chytré kanceláři s prací z domova je trend, který nejde ignorovat! #SmartOffice podporuje kreativní myšlení, spolupráci i inovace. Podívejte se, co jsme reportérce z @TelevizeNova prozradili: https://t.co/Vu0FF0k1rR",cs,1,Wed Sep 02 10:17:00 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
29,"""Náš nový #Smart Office v UniCredit je zajímavý v tom, že je v něm člověk jako doma,"" popisuje své dojmy Tomáš Drábek, ředitel retailového a privátního bankovnictví. 

Pojďte si s námi náš Smart Office prohlédnout!

#PartOfTheSolution #SmartOffice #UniCredit4Innovation https://t.co/vfs7WQdX7s",cs,0,Wed Aug 19 07:43:40 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
30,"""Smart office v UniCredit pozitivně ovlivňuje způsob naší práce, podporuje komunikaci a propojuje tak všechny do jednoho společného týmu."" říká @Jakub Dusílek, CEO o novinkách, které nám Smart Office přinesl. Co na to naši kolegové? Poslechněte si jejich dojmy:

CC: @UniCredit_PR https://t.co/CoLQYT2vuO",cs,3,Thu Aug 13 08:36:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
31,"RT @UniCredit_PR: #Team23: #UniCredit, a pan European winner in a strong position to support all stakeholders. 2Q20 &amp; 1H20 Group #Results.…",en,11,Thu Aug 06 07:25:40 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
32,RT @UniCredit_PR: #HeadsUp: tomorrow morning at 07.00 CET #UniCredit publishes its 2Q20 and 1H20 #Results presentation. Follow live audio w…,en,6,Wed Aug 05 16:10:00 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
33,"UniCredit Bank pomohla pokračovat největšímu rodinnému knižnímu řetězci v Česku. V rámci programu #COVID III jsme poskytli provozní úvěr firmě Kanzelsberger. Jak toto partnerství vnímá Jan Kanzelsberger ml. se dozvíte ve videu.

#PartOfTheSolution #UniCredit #BankingThatMatters https://t.co/MhbvenaCPM",cs,1,Wed Aug 05 07:36:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
34,"Prebiehajúca epidémia ukázala, že digitalizácia je kľúčovou otázkou pre prekonanie budúcich kríz. Preto sme podporili inovatívnu firmu https://t.co/R2u7MTICzY, ktorá umožňuje firmám fungovať naplno v online prostredí. 

#UniCredit4Business #OneUniCredit #Partofsolution https://t.co/iZe0GqaGR1",und,0,Tue Jul 21 07:34:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
35,UniCredit zabodovala v soutěži magazínu Euromoney! #AwardsforExcellence https://t.co/QtntlWlnF2,cs,1,Wed Jul 15 13:25:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
36,#UniCredit4Innovation: #UniCredit byla magazínem Professional Wealth Management vyhlášena nejlepší privátní bankou v oblasti využití nových technologií. Děkujeme! https://t.co/GvWpkGuotw,cs,1,Mon Jun 29 09:05:49 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
37,"Ekonomický sentiment v červnu dle ČSÚ: hůř už nebude, ale oživení je daleko. Situace v průmyslu se polarizuje a většinu podniků sužuje nízká poptávka, zejména zahraniční. Zlepšení ve službách odráží hlavně srovnání s předchozími dvěma katastrofálními měsíci. #ucb_hlavníekonom",cs,0,Wed Jun 24 07:57:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
38,"Epidemie koronaviru s sebou přinesla pozitivní trend v oblasti digitalizace. 78 % Čechů s připojením k internetu spravuje své každodenní finance především digitálně - z mobilu nebo počítače.  

Mějte své #finance vždy po ruce i vy. 
Více: https://t.co/QIMFVDeXDz

#UniCredit4You https://t.co/cFNjNlgwEp",cs,1,Tue Jun 23 07:52:43 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
39,"Díky zapojení UniCredit do podpůrného balíku EIF můžeme poskytnout malým a středním podnikům úvěry na podporu provozního kapitálu zaručené EIF do výše 80 % a pomoci jim překlenout složité období a sníženou likviditu v důsledku COVID19. #UniCredit4Business 
https://t.co/QEJ5MUao27 https://t.co/LpyZIwYhSc",cs,2,Fri Jun 19 06:58:04 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
40,"„Postavit se za správnou věc a projevit solidaritu je pro mě nesmírně důležité,"" řekl Jakub Dusílek, CEO naší banky při odevzdání šeku ve výši 970 tisíc českých korun nemocnici v Brně, která je použije na nákup plicních ventilátorů. #UniCredit4Good @UniCredit_PR https://t.co/hw2rDT8Ykr",cs,0,Mon Jun 15 10:44:41 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
41,"Zveme vás na virtuální prohlídku našeho Smart Office na centrále Filadelfie. Místa pro kreativitu, aktivní soustředění, klientské schůzky, relax i zabavení dětí pracujících rodičů. 

#BankingThatMatters #UniCredit4People @UniCredit_PR https://t.co/HJAjcQLZGn",cs,2,Fri Jun 12 07:56:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
42,"""S klienty komunikujeme individuálně a daleko aktivněji než v klidných dobách"", řekl pro E15 Jakub Dusílek, CEO UniCredit Bank Czech Republic and Slovakia, a.s. 

Přečtěte si celý rozhovor zde: https://t.co/TGrVWRNA3a

#UniCredit #UniCredit4Busines https://t.co/rvzXWakv5q",cs,3,Tue Jun 09 07:15:51 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
43,"Bezkontaktní doba si žádá bezkontaktní řešení! Naše U konto si můžete v České republice zařídit jednoduše online a nyní vám navíc budeme vracet 1 % ze všech plateb kartou po dobu jednoho roku. Třeba i z těch bezkontaktních. #UniCredit4You

Více na: https://t.co/Jdc3FkGL0F https://t.co/VOH3tzUjdw",cs,2,Tue Jun 02 08:55:21 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
44,"#UniCredit4People: I když je nejhorší vlna epidemie snad konečně za námi, naši kolegové během náročného období poskytli pomocnou ruku tam, kde to bylo nejvíce potřeba. Za to obrovské nasazení mají náš obdiv. Podívejte se, jak naši kolegové pomáhají a inspirujte se i vy: https://t.co/IxScpbQW6D",cs,0,Tue May 26 13:05:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
45,"Jak číst konjunkturální průzkum ČSÚ: krize probublává i do dříve málo dotčených odvětví. Všechna odvětví se chystají propouštět. Tlak na růst cen polevuje, ale zatím ne pro koncové spotřebitele. Zlepšení spotřebitelské důvěry je zřejmě falešným signálem. #ucb_hlavníekonom",cs,0,Mon May 25 07:45:55 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
46,"Jsme nejlepší korporátní bankou podle čtenářů Global Banking &amp; Finance Awards®! Děkujeme našim klientům za důvěru, kteří společně s našimi skvělými korporátními kolegy dokáží hýbat koly tuzemské ekonomiky! #UniCreditAwards https://t.co/hGBhyNbpRo",cs,0,Thu May 21 07:00:06 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
47,"#UniCredit Foundation podpoří šest neziskových organizací, které pomáhají dětem i dospělým v Česku i na Slovensku, finanční podporou ve výši 2,2 miliony korun. 

Více zde: https://t.co/FFpUnxuQNc

#UniCredit4Good #UniCredit #BankingThatMatters https://t.co/1Lk2wccVD5",cs,1,Tue May 19 12:25:55 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
48,"#UniCredit4ESG: UniCredit acted as joint bookrunner for the EUR 750 mn 6y Green bond for CPI Property Group. This transaction moves us to #1 positon in the CEE EUR Corporate League Table.

https://t.co/sQBY7ZFJ5m https://t.co/4nxMxOQNpJ",en,0,Wed May 13 11:35:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
49,"RT @UniCredit_PR: #Team23: #UniCredit, 1Q20 #Results. Follow live the conference call. 
🎙️https://t.co/By1uYjojBL https://t.co/ddE6M1epeG",en,7,Wed May 06 08:52:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
50,#UniCredit představí výsledky za 1Q20. Sledujte v 10:00 živý přenos na odkazu níže. #UniCreditResults https://t.co/cOjbIAdHbA,cs,1,Wed May 06 06:57:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
51,RT @UniCredit_PR: #HeadsUp: tomorrow morning at 07.00 CET #UniCredit publishes its 1Q20 #Results presentation. Follow live audio webcast an…,en,5,Tue May 05 15:12:34 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
52,"Našim skutečným bohatstvím jsou naši zaměstnanci. Svými skutky dokazují, že dokáží jako jeden tým pomoct těm, kteří to potřebují. Společně jsme darovali pěti nemocnicím 4,9 mil. korun (180 000 eur). Podívejte si, co nám zástupci nemocnic vzkazují. #OneUniCredit #UniCredit4People https://t.co/Enl9X9Txtp",cs,3,Thu Apr 30 20:18:05 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
53,"VISHING a SMISHING - techniky na poli kybernetických útoků s cílem získat citlivé údaje. Dávejte si pozor na příchozí SMS, WhatsApp zprávy a hovory z falešných call center, které mohou být signálem pro hackerské útoky či viry.  
#UniCredit4You #UniCreditStories https://t.co/B0E0tQVSNR",cs,1,Wed Apr 29 07:50:37 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
54,"#UniCredit4People: Zdraví našich zaměstnanců a klientů je naší nejvyšší prioritou. Díky moderním technologiím můžeme klientům a obchodním partnerům poskytovat naše služby na dálku. Podívejte se, jak se kolegové popasovali s prací z domu:

#UniCreditWay @UniCredit_PR https://t.co/KMHiAzK2TL",cs,1,Fri Apr 24 13:12:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
55,"„Okamžitě jsme se připojili k této iniciativě, abychom šli naproti dodavatelům a obchodním partnerům v tomto náročném období.” 
@DusilekJakub , předseda představenstva UniCredit Bank Czech Republic and Slovakia

#OneUniCredit #BankingThatMatters #UniCredit4Business @UniCredit_PR https://t.co/T8Df2PWY2T",cs,1,Wed Apr 22 11:58:06 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
56,"#UniCreditBank stojí při svých klientech a snaží se pomoci mírnit ekonomické dopady spojené s #Covid19. Proto pro své klienty připravila možnost odkladu splátek úvěrů. 

Kontaktuje nás zde: https://t.co/p1U8NhRqny

#UniCredit4You #BankingThatMatters #OneUniCredit @UniCredit_PR https://t.co/U0ZfW2xQDc",cs,3,Mon Apr 20 09:54:12 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
57,"Představujeme vám novu verzi mobilní aplikace Smart Banking, kterou jsme pro vás připravili ve spolupráci s firmou @meniga. Prozkoumejte už nyní její vylepšený design a nové funkce! 

Více zde: https://t.co/QIMFVDeXDz 

#UniCredit4Innovation #UniCredit4You https://t.co/u8YCfGZGtW",cs,3,Fri Apr 17 10:43:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
58,"#UniCredit4Good: UniCredit Bank a její zaměstnanci společně s nadací UniCredit Foundation posílají 4,9 milionu korun do českých a slovenských nemocnic na boj proti onemocnění COVID-19. 

CC: @UniCredit_PR #UniCreditWay https://t.co/dezqkxdqnm",cs,2,Wed Apr 15 13:19:25 +0000 2020,"<a href=""https://www.zoomsphere.com"" rel=""nofollow"">ZoomSphere scheduler</a>",,,,,,,,,
59,"Malé a střední podniky si nyní zaslouží smysluplně podpořit! Proto jsme se zapojili do programu COVID II, který připravila ČMZRB společně s Ministerstvem průmyslu a obchodu MPO. 

Podívejte se, jak může program pomoci i vám: https://t.co/8tPtMdNb8c

#UniCredit4Business #COVIDII https://t.co/GyqkUERfvf",cs,0,Wed Apr 01 14:14:24 +0000 2020,"<a href=""https://www.zoomsphere.com/"" rel=""nofollow"">ZoomSphere site</a>",,,,,,,,,
60,"Přes všechny nejistoty vycházíme vstříc poptávce po makrovýhledu pro Česko. HDP 2020: -7,5%, 2021: +7,0%. Předpoklady - současné restrikce nezpřísní a nebudou trvat víc než 2 měsíce. #ucb_hlavníekonom",cs,1,Thu Mar 26 10:03:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
61,"Jsme vám plně k dispozici, i když se nemůžeme vídat osobně. Zjistěte, co vše lze vyřídit online - na stránkách https://t.co/Cm9WcBWv7L. 

#UniCredit4People https://t.co/lTAkOp72uV",cs,2,Fri Mar 20 09:46:08 +0000 2020,"<a href=""https://www.zoomsphere.com/"" rel=""nofollow"">ZoomSphere site</a>",,,,,,,,,
62,"S hrdostí vám oznamujeme spuštění nové digitální platformy #OneUniCredit, kde najdete relevantní informace ke COVID-19, které vám pomohou projít tímto náročným obdobím. 

Jsme jedna banka, jeden UniCredit a jsme silnější než #Covid19 #andratuttobene  🌈 https://t.co/9ZUUxLzekC https://t.co/zjpyZ319y6",cs,1,Mon Mar 16 16:34:58 +0000 2020,"<a href=""https://www.zoomsphere.com/"" rel=""nofollow"">ZoomSphere site</a>",,,,,,,,,
63,"#BankingThatMatters: Dnes slavíme Mezinárodní den žen: v #UniCredit dlouhodobě usilujeme o diverzitu, inkluzi a zároveň podporujeme budoucí vzory, abychom vytvořili lepší a otevřenou společnost. Dělejme ty správné věci! 

CC@UniCredit_PR https://t.co/p4bRCHMBdG",cs,1,Sun Mar 08 12:40:18 +0000 2020,"<a href=""https://www.zoomsphere.com/"" rel=""nofollow"">ZoomSphere site</a>",,,,,,,,,
64,"Jsme hrdí, že podle prestižního časopisu Forbes a žebříčku Scott &amp; Rose, má UniCredit Bank nejlepší hypotéku za 1Q 2020. 
Gratulace patří našemu skvělému retailovému týmu! 

#UniCredit4You #BankingThatMatters@UniCredit_PR 

https://t.co/MiQ9GcDugW",cs,1,Fri Mar 06 09:31:52 +0000 2020,"<a href=""https://www.zoomsphere.com/"" rel=""nofollow"">ZoomSphere site</a>",,,,,,,,,
65,Během včerejší noci se UniCredit Tower rozsvítila v barvách italské vlajky jako symbol solidarity a povzbuzení směrem k našim kolegům a zákazníkům v regionech zasažených virem Covid-19. #UniCredit4People https://t.co/gc5tlLLEWH,cs,1,Mon Mar 02 10:07:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,
